house_ID,Area_sqft,Volume_cuft,Best_Image
H_6d92163_12d16357,3191.07,45831.39,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_12d15977_24d21093,11799.4,118470.78,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_25d36221_0d22907,2762.88,35996.72,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_43d50896_10d91296,2606.91,29186.8,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
