house_ID,Area_m2,volume_m3
H_12d01888_48d04930,37.26,95.92
H_23d45383_17d44215,62.64,180.52
H_6d70031_12d33224,307.44,1359.25
H_12d42904_24d51301,486.0,1574.49
H_27d38115_37d83850,277.2,674.66
H_25d29607_0d03709,280.8,1106.1
H_39d80881_0d29833,77.76,363.55
H_43d70328_10d74288,273.24,984.56
