house_ID,Area_m2,volume_m3
H_6d91046_12d17927,296.46,1297.57
H_11d93237_24d45979,448.2,1427.89
H_27d39450_37d54046,266.4,649.49
H_25d36011_0d11660,274.95,1074.09
H_42d02842_11d31728,242.19,773.37
