house_ID,Area_m2,volume_m3
H_6d97230_12d12387,120.74,529.66
H_12d26174_24d49835,187.72,599.77
H_26d68561_37d82137,240.36,590.1
H_25d42655_0d02966,165.26,652.8
H_43d39538_10d90895,136.23,461.46
