house_ID,Area_m2,volume_m3
H_12d01888_48d04930,37.26,95.94
H_23d45962_17d44299,62.64,180.64
H_6d69958_12d33213,307.44,1359.62
H_12d43716_24d50676,486.0,1575.26
H_27d38313_37d83138,277.2,674.9
H_25d29919_0d05600,280.8,1106.58
H_39d81070_0d29480,77.76,363.6
H_43d70639_10d74262,273.24,985.08
