house_ID,Area_sqft,Volume_cuft,Best_Image
H_12d80848_20d65730,1433.75,20245.35,/Users/willicon/Desktop/point_cloud_maker/data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_49d19166_3d09049,953.25,11007.76,/Users/willicon/Desktop/point_cloud_maker/data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_32d34666_7d71760,1488.0,19446.41,/Users/willicon/Desktop/point_cloud_maker/data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_9d47604_37d32652,2976.01,28132.67,/Users/willicon/Desktop/point_cloud_maker/data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
