house_ID,Area_m2,volume_m3
H_6d79138_12d26188,307.44,1353.91
H_12d30914_24d46618,448.2,1435.17
H_27d35509_37d42465,273.6,656.68
H_26d68054_0d38612,276.48,1135.45
H_40d49849_0d48869,27.54,135.85
H_43d62500_10d81798,242.19,828.17
