house_ID,Area_m2,volume_m3
H_12d01888_48d04930,37.26,93.82
H_23d14138_17d38585,62.64,179.59
H_6d69998_12d33744,307.44,1358.36
H_12d42850_24d51290,486.0,1574.66
H_27d38994_37d83835,277.2,674.76
H_25d31137_0d09225,280.8,1106.1
H_39d81060_0d27103,69.12,321.57
H_43d70727_10d74256,273.24,979.12
