house_ID,Area_sqft,Volume_cuft,Best_Image
H_6d90983_12d19901,1340.75,19213.37,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_12d02816_24d47829,2933.38,29766.14,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_25d49280_0d12139,1596.5,20653.78,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
H_43d77625_10d89851,933.88,10733.01,data/ElmA60H90P12/images/DJI_20260327084537_0005_D.JPG
