house_ID,Area_sqft,Volume_cuft,Best_Image
H_47d17975_12d27602,2480.0,36630.29,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_39d56571_2d07973,538.63,6955.97,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_24d47945_1d59637,1871.63,24013.32,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_57d30778_19d43146,217.0,1990.48,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_6d31043_13d73106,1530.63,20730.26,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_20d55207_32d18778,4452.38,41088.27,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
H_25d52433_18d93402,286.75,2832.79,data/ElmA60H90P28/images/DJI_20260327084212_0009_D.JPG
